002770	 cycle: 	7	 failed: 	14	 success: 	3
002770	 cycle: 	8	 failed: 	6	 success: 	2
002770	 cycle: 	9	 failed: 	20	 success: 	2
002770	 cycle: 	10	 failed: 	56	 success: 	2
002770	 cycle: 	11	 failed: 	15	 success: 	1
002770	 cycle: 	12	 failed: 	32	 success: 	1
002770	 cycle: 	13	 failed: 	9	 success: 	1
002770	 cycle: 	16	 failed: 	11	 success: 	1
002770	 cycle: 	19	 failed: 	20	 success: 	1
002770	 cycle: 	20	 failed: 	0	 success: 	1



002767	 cycle: 	7	 failed: 	4	 success: 	2
002767	 cycle: 	8	 failed: 	0	 success: 	1
002767	 cycle: 	9	 failed: 	15	 success: 	1
002767	 cycle: 	10	 failed: 	11	 success: 	1
002767	 cycle: 	11	 failed: 	1	 success: 	1
002767	 cycle: 	12	 failed: 	1	 success: 	2
002767	 cycle: 	13	 failed: 	1	 success: 	1
002767	 cycle: 	14	 failed: 	36	 success: 	1
002767	 cycle: 	15	 failed: 	34	 success: 	1
002767	 cycle: 	16	 failed: 	17	 success: 	4
002767	 cycle: 	17	 failed: 	5	 success: 	1
002767	 cycle: 	18	 failed: 	10	 success: 	2



002769	 cycle: 	7	 failed: 	18	 success: 	3
002769	 cycle: 	8	 failed: 	20	 success: 	3
002769	 cycle: 	9	 failed: 	26	 success: 	1
002769	 cycle: 	11	 failed: 	7	 success: 	1
002769	 cycle: 	13	 failed: 	1	 success: 	1
002769	 cycle: 	15	 failed: 	1	 success: 	1
002769	 cycle: 	17	 failed: 	0	 success: 	1
002769	 cycle: 	19	 failed: 	0	 success: 	1
002769	 cycle: 	20	 failed: 	0	 success: 	1



002765	 cycle: 	7	 failed: 	27	 success: 	2
002765	 cycle: 	8	 failed: 	32	 success: 	2
002765	 cycle: 	9	 failed: 	20	 success: 	1
002765	 cycle: 	10	 failed: 	3	 success: 	2
002765	 cycle: 	13	 failed: 	3	 success: 	1
002765	 cycle: 	14	 failed: 	2	 success: 	1
002765	 cycle: 	15	 failed: 	55	 success: 	2
002765	 cycle: 	16	 failed: 	37	 success: 	1
002765	 cycle: 	17	 failed: 	10	 success: 	2
002765	 cycle: 	18	 failed: 	9	 success: 	1
002765	 cycle: 	19	 failed: 	23	 success: 	1
002765	 cycle: 	20	 failed: 	18	 success: 	1






002759	 cycle: 	7	 failed: 	46	 success: 	4
002759	 cycle: 	8	 failed: 	13	 success: 	3
002759	 cycle: 	9	 failed: 	37	 success: 	4
002759	 cycle: 	10	 failed: 	19	 success: 	1
002759	 cycle: 	11	 failed: 	23	 success: 	5
002759	 cycle: 	12	 failed: 	19	 success: 	3
002759	 cycle: 	13	 failed: 	34	 success: 	5
002759	 cycle: 	16	 failed: 	9	 success: 	1
002759	 cycle: 	17	 failed: 	16	 success: 	2
002759	 cycle: 	18	 failed: 	27	 success: 	4
002759	 cycle: 	19	 failed: 	3	 success: 	1
002759	 cycle: 	20	 failed: 	34	 success: 	5



002763	 cycle: 	7	 failed: 	8	 success: 	1
002763	 cycle: 	8	 failed: 	17	 success: 	4
002763	 cycle: 	10	 failed: 	48	 success: 	2
002763	 cycle: 	11	 failed: 	48	 success: 	1
002763	 cycle: 	15	 failed: 	3	 success: 	3



002761	 cycle: 	8	 failed: 	5	 success: 	1
002761	 cycle: 	9	 failed: 	30	 success: 	1
002761	 cycle: 	10	 failed: 	6	 success: 	1
002761	 cycle: 	12	 failed: 	6	 success: 	2
002761	 cycle: 	13	 failed: 	2	 success: 	1
002761	 cycle: 	17	 failed: 	10	 success: 	1
002761	 cycle: 	18	 failed: 	0	 success: 	1



002760	 cycle: 	8	 failed: 	32	 success: 	2
002760	 cycle: 	9	 failed: 	6	 success: 	2
002760	 cycle: 	10	 failed: 	8	 success: 	2
002760	 cycle: 	11	 failed: 	24	 success: 	2
002760	 cycle: 	12	 failed: 	5	 success: 	1
002760	 cycle: 	14	 failed: 	10	 success: 	1



002758	 cycle: 	7	 failed: 	53	 success: 	5
002758	 cycle: 	8	 failed: 	3	 success: 	2
002758	 cycle: 	9	 failed: 	24	 success: 	4
002758	 cycle: 	10	 failed: 	1	 success: 	1
002758	 cycle: 	11	 failed: 	22	 success: 	3
002758	 cycle: 	12	 failed: 	25	 success: 	1
002758	 cycle: 	13	 failed: 	5	 success: 	1
002758	 cycle: 	14	 failed: 	4	 success: 	6
002758	 cycle: 	15	 failed: 	10	 success: 	2
002758	 cycle: 	16	 failed: 	3	 success: 	2
002758	 cycle: 	17	 failed: 	14	 success: 	2
002758	 cycle: 	18	 failed: 	9	 success: 	1
002758	 cycle: 	20	 failed: 	9	 success: 	1



002756	 cycle: 	7	 failed: 	33	 success: 	1
002756	 cycle: 	9	 failed: 	35	 success: 	1
002756	 cycle: 	10	 failed: 	22	 success: 	1
002756	 cycle: 	12	 failed: 	1	 success: 	1
002756	 cycle: 	13	 failed: 	34	 success: 	2
002756	 cycle: 	14	 failed: 	13	 success: 	2
002756	 cycle: 	15	 failed: 	31	 success: 	2



002755	 cycle: 	7	 failed: 	2	 success: 	1
002755	 cycle: 	8	 failed: 	26	 success: 	3
002755	 cycle: 	9	 failed: 	24	 success: 	2
002755	 cycle: 	10	 failed: 	43	 success: 	3
002755	 cycle: 	11	 failed: 	5	 success: 	1
002755	 cycle: 	12	 failed: 	19	 success: 	2
002755	 cycle: 	13	 failed: 	15	 success: 	1
002755	 cycle: 	14	 failed: 	16	 success: 	2
002755	 cycle: 	15	 failed: 	17	 success: 	2
002755	 cycle: 	19	 failed: 	33	 success: 	1
